EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2010;01;Cortes de Aragón;Cortes de Aragón
2010;0100;Ingresos de las Cortes de Aragón;Ingresos de las Cortes de Aragón
2010;01000;Ingresos de las Cortes de Aragón;Ingresos de las Cortes de Aragón
2010;0101;Cortes de Aragón;Cortes de Aragón
2010;01010;Cortes de Aragón;Cortes de Aragón
2010;0102;El Justicia de Aragón;El Justicia de Aragón
2010;01020;El Justicia de Aragón;El Justicia de Aragón
2010;0103;Cámara de Cuentas de Aragón;Cámara de Cuentas de Aragón
2010;01030;Cámara de Cuentas de Aragón;Cámara de Cuentas de Aragón
2010;02;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2010;0200;Ingresos de Presidencia Gobierno Aragón;Ingresos de la Presidencia del Gobierno de Aragón
2010;02000;Ingresos de Presidencia del Gobierno;Ingresos de la Presidencia del Gobierno de Aragón
2010;0201;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2010;02010;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2010;03;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2010;0300;Ingresos Consejo Consultivo de Aragón;Ingresos del Consejo Consultivo de Aragón
2010;03000;Ingresos Consejo Consultivo de Aragón;Ingresos del Consejo Consultivo de Aragón
2010;0301;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2010;03010;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2010;04;Vicepresidencia del Gobierno;Vicepresidencia del Gobierno
2010;0400;Ingresos de Vicepresidencia de Gobierno;No operativo
2010;04000;Ingresos de Vicepresidencia de Gobierno;No operativo
2010;0401;S.G.T. Vicepresidencia;Secretaría General Técnica de la Vicepresidencia
2010;04010;S.G.T. Vicepresidencia;Secretaría General Técnica de la Vicepresidencia
2010;0402;D.G. de Desarrollo Estatutario;Dirección General de Desarrollo Estatutario
2010;04020;D.G. de Desarrollo Estatutario;Dirección General de Desarrollo Estatutario
2010;09;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2010;0900;Ingresos Consejo Ec. y Social de Aragón;Ingresos del Consejo Económico y Social de Aragón
