EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2011;01010;1111;100000;91002;Retribuciones básicas de Altos Cargos;2.366.844,06
2011;01010;1111;100001;91002;Otras remuneraciones de Altos Cargos;257.733,98
2011;01010;1111;110000;91002;Retribuciones básicas Pers. Eventual de Gabinete;145.184,76
2011;01010;1111;110001;91002;Otras remuneraciones de Pers. Eventual de Gabinete;163.184,98
2011;01010;1111;120000;91002;Sueldos de Personal Funcionario;1.437.683,04
2011;01010;1111;120005;91002;Trienios de Personal Funcionario;555.056,48
2011;01010;1111;120006;91002;Pagas extraordinarias de Personal Funcionario;520.879,66
2011;01010;1111;121000;91002;Complemento de destino de Personal Funcionario;641.085,72
2011;01010;1111;121001;91002;Complemento específico de Personal Funcionario;581.361,00
2011;01010;1111;122002;91002;Otras retribuciones en especie;120.000,00
2011;01010;1111;130000;91002;Salario base de Personal Laboral Fijo;96.070,80
2011;01010;1111;130001;91002;Antigüedad de Personal Laboral Fijo;36.880,76
2011;01010;1111;130002;91002;Pagas extraordinarias de Personal Laboral Fijo;29.437,08
2011;01010;1111;130003;91002;Otras remuneraciones de Personal Laboral Fijo;58.531,08
2011;01010;1111;131000;91002;Salario base de Personal Laboral Eventual;13.241,28
2011;01010;1111;131001;91002;Otras remuneraciones de Personal Laboral Eventual;12.007,86
2011;01010;1111;150000;91002;Productividad fija de Funcionarios;165.619,56
2011;01010;1111;151000;91002;Gratificaciones de Personal Funcionario;18.050,00
2011;01010;1111;151001;91002;Gratificaciones de Personal no Funcionario;950,00
2011;01010;1111;160000;91002;Seguridad social;1.305.478,43
2011;01010;1111;160001;91002;MUFACE;20.954,08
2011;01010;1111;160009;91002;Otras cuotas sociales;1.138,90
2011;01010;1111;161000;91002;Formación y perfeccion. Funcionarios y no Laboral;14.891,25
2011;01010;1111;161001;91002;Economatos y comedores. Funcionarios y no Laboral;61.750,00
2011;01010;1111;161009;91002;Otros Gtos Sociales de Funcionarios y no Laborales;12.350,00
2011;01010;1111;162000;91002;Formación y perfeccionamiento de Personal Laboral;285,00
2011;01010;1111;162001;91002;Economatos y comedores de Personal Laboral;1.140,00
2011;01010;1111;162009;91002;Otros gastos sociales de Personal Laboral;114,00
2011;01010;1111;165000;91002;Fondo de Acción Social;103.829,24
2011;01010;1111;203000;91002;Arrendamientos maquinaria, instalación y utillaje;7.000,00
2011;01010;1111;206000;91002;Arrendamientos de equipos procesos de información;165.345,88
2011;01010;1111;212000;91002;Rep. y conservación edificios y otras construcc.;150.000,00
2011;01010;1111;213000;91002;Rep. y conserv. maquinaria,instalaciones,utillaje;156.000,00
2011;01010;1111;214000;91002;Reparación y conservación material de transporte;8.000,00
2011;01010;1111;215000;91002;Reparación y conservación de mobiliario y enseres;20.000,00
2011;01010;1111;216000;91002;Rep. y conserv. equipos procesos de información;129.000,00
2011;01010;1111;220000;91002;Ordinario no inventariable;35.000,00
2011;01010;1111;220001;91002;Mobiliario y enseres;25.000,00
2011;01010;1111;220002;91002;Prensa, revistas y publicaciones periódicas;204.688,00
2011;01010;1111;220003;91002;Libros y otras publicaciones;184.670,00
2011;01010;1111;220004;91002;Material informático;20.000,00
2011;01010;1111;220009;91002;Otro material de oficina;12.000,00
2011;01010;1111;221000;91002;Energía eléctrica;366.000,00
2011;01010;1111;221001;91002;Agua;700,00
2011;01010;1111;221003;91002;Combustibles;12.000,00
2011;01010;1111;221004;91002;Vestuario;15.600,00
2011;01010;1111;221009;91002;Otros suministros;35.000,00
2011;01010;1111;222000;91002;Telefónicas;313.500,00
