EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2011;12500;100000;91003;Tarifa Autonómica del I.R.P.F.;1.257.917.930,00
2011;12500;110000;91003;Sobre adquisiciones por herencia o legado;140.000.000,00
2011;12500;110003;91003;Donaciones;15.000.000,00
2011;12500;112000;91003;Sobre Grandes superficies;8.500.000,00
2011;12500;113000;91003;Sobre emisiones contaminantes;7.600.000,00
2011;12500;114000;91003;Sobre tendidos aéreos;1.750.000,00
2011;12500;200000;91003;Sobre Transmisiones Patrimoniales Onerosas;141.500.000,00
2011;12500;200001;91003;Sobre Operaciones Societarias;11.000.000,00
2011;12500;200002;91003;Sobre Transmisiones de vehículos;2.500.000,00
2011;12500;201000;91003;Efectos timbrados y otros;140.000.000,00
2011;12500;201001;91003;Exceso letras de cambio;50.000,00
2011;12500;201002;91003;Reintegros a metálico;4.950.000,00
2011;12500;210001;91003;I.V.A. Sobre Operaciones Internas;775.231.540,00
2011;12500;220000;91003;Sobre el alcohol y bebidas derivadas;17.020.680,00
2011;12500;220001;91003;Sobre Cerveza;5.164.360,00
2011;12500;220003;91003;Sobre labores de tabaco;151.750.620,00
2011;12500;220004;91003;S/ venta minorista de determinados hidrocarburos;46.700.000,00
2011;12500;220005;91003;Sobre determinados medios de transporte;27.000.000,00
2011;12500;220006;91003;Sobre productos intermedios;366.180,00
2011;12500;220007;91003;Sobre energía (electricidad);58.114.120,00
2011;12500;220008;91003;Sobre hidrocarburos;237.840.200,00
2011;12500;300003;91003;Venta de Bienes de Agricultura y Alimentación;8.000,00
2011;12500;300007;91003;Venta de Bienes de Educación, Cultura y Deporte;70.780,23
2011;12500;300050;91003;Venta de Bienes de Cortes de Aragón;36.000,00
2011;12500;301007;91003;Venta de Publicac. de Educación, Cultura y Deporte;73.130,49
2011;12500;301050;91003;Venta de Publicac. de Cortes de Aragón;30.000,00
2011;12500;302000;91003;Venta de cartones de bingo;700.000,00
2011;12500;312001;91003;Prestación de Servicios en Cartografía;72.000,00
2011;12500;315001;91003;Prestación de Servicios en residencias;1.280.000,00
2011;12500;316008;91003;Prestación de Servicios en guarderías;1.351.827,14
2011;12500;319000;91003;Otras Prest. de Svcios de Presidencia;14.000,00
2011;12500;319005;91003;Otras Prest. de Svcios de Salud y Consumo;2.100.000,00
2011;12500;319007;91003;Otras Prest. de Svcios de Educ.,Cultura y Deporte;4.279.717,19
2011;12500;319008;91003;Otras Prest. de Svcios de Medio Ambiente;195.387,00
2011;12500;319050;91003;Otras Prest. de Svcios de las Cortes de Aragón;170.000,00
2011;12500;320004;91003;Tasa 04- Por Autorizaciones Espectáculos Públicos;41.750,00
2011;12500;320019;91003;Tasa 19- Por Servicios Admvos. y técnicos de juego;1.605.907,00
2011;12500;320022;91003;Tasa 22- Inserción de Anuncios en el B.O.A.;1.497.586,60
2011;12500;320023;91003;Tasa 23- Inscr.Public. Asociac.,Fundac.,CCPP,Cons.;80.000,00
2011;12500;320024;91003;Tasa 24- Derechos de examen de pruebas selectivas;505.239,00
2011;12500;320032;91003;Tasa 32- Act. Adm. al serv.Radiodifusión y TV;31.000,00
