EJERCICIO;GASTO/INGRESO;CAPITULO;ARTICULO;CONCEPTO;SUBCONCEPTO;DESCRIPCION CORTA;DESCRIPCION LARGA
2011;G;1;;;;Gastos de Personal;Gastos de Personal
2011;G;2;;;;Gtos.Bienes Corr. y Serv.;Gastos en Bienes Corrientes y Servicios
2011;G;3;;;;Gastos Financieros;Gastos Financieros
2011;G;4;;;;Transferencias Corrientes;Transferencias Corrientes
2011;G;6;;;;Inversiones Reales;Inversiones Reales
2011;G;7;;;;Transferencias de Capital;Transferencias de Capital
2011;G;8;;;;Activos Financieros;Activos Financieros
2011;G;9;;;;Pasivos Financieros;Pasivos Financieros
2011;G;1;10;;;Altos Cargos;Altos Cargos
2011;G;1;11;;;Person. Eventual Gabinete;Personal Eventual de Gabinete
2011;G;1;12;;;Funcionarios;Funcionarios
2011;G;1;13;;;Laborales;Laborales
2011;G;1;14;;;Otro personal;Otro personal
2011;G;1;15;;;Incentivos al rendimiento;Incentivos al rendimiento
2011;G;1;16;;;Cuotas sociales empleador;Cuotas, prestaciones y gastos sociales a cargo del empleador
2011;G;1;17;;;Gtos personal distribuir;Gastos de personal a distribuir
2011;G;1;18;;;Pers. Instit. Sanitarias;Personal de Instituciones Sanitarias
2011;G;2;20;;;Arrendamientos;Arrendamientos
2011;G;2;21;;;Reparación y conservación;Reparación y conservación
2011;G;2;22;;;Material, suminis.y otros;Material, suministros y otros
2011;G;2;23;;;Indemnizac. por servicio;Indemnizaciones por razón del servicio
2011;G;2;24;;;Servicios nuevos;Servicios nuevos
2011;G;2;25;;;Otr gtos b.corrient y ser;Otros gastos en bienes corrientes y servicios
2011;G;2;26;;;Serv.Asist. medios ajenos;Servicios asistenciales con medios ajenos
2011;G;3;30;;;De deuda interior;De deuda interior
2011;G;3;31;;;De préstamos del interior;De préstamos del interior
2011;G;3;32;;;De préstamos del exterior;De préstamos del exterior
2011;G;3;35;;;Depósitos,fianzas,avales;De depósitos, fianzas y avales
2011;G;3;39;;;Otro préstamos y anticip.;Otros préstamos y anticipos
2011;G;4;40;;;A la Admón del Estado;A la Administración del Estado
2011;G;4;41;;;A Organismos Autónomos;A Organismos Autónomos
2011;G;4;42;;;A la Seguridad Social;A la Seguridad Social
2011;G;4;44;;;A Empr. y Entes Públicos;A Empresas Públicas y otros Entes Públicos
2011;G;4;45;;;A Comunidades Autónomas;A Comunidades Autónomas
2011;G;4;46;;;A Corporaciones Locales;A Corporaciones Locales
2011;G;4;47;;;A Empresas Privadas;A Empresas Privadas
2011;G;4;48;;;A Fam,Ins.Sin Fines Lucro;A familias e instituciones sin fines de lucro
2011;G;4;49;;;Al Exterior;Al Exterior
2011;G;6;60;;;Inversiones Reales;Inversiones Reales
2011;G;7;70;;;A la Admón del Estado;A la Administración del Estado
2011;G;7;71;;;A Organismos Autónomos;A Organismos Autónomos
2011;G;7;72;;;A la Seguridad Social;A la Seguridad Social
2011;G;7;74;;;A Empr. y Entes Públicos;A Empresas Públicas y otros Entes Públicos
2011;G;7;75;;;A Comunidades Autónomas;A Comunidades Autónomas
2011;G;7;76;;;A Corporaciones Locales;A Corporaciones Locales
2011;G;7;77;;;A Empresas Privadas;A Empresas Privadas
2011;G;7;78;;;A Fam,Ins.Sin Fines Lucro;A Familias e Instituciones Sin Fines De Lucro
2011;G;7;79;;;Al Exterior;Al Exterior
2011;G;8;80;;;Conc. prést. y anticipos;Concesión de préstamos y anticipos
2011;G;8;81;;;Adquis. accion. Sect.Públ;Adquisición de acciones y participaciones del Sector Público
2011;G;8;82;;;Adquis. accion. Sect.Priv;Adquisición de acciones y participaciones del Sector Privado
2011;G;8;85;;;Const.Fianzas y depósitos;Constitución de fianzas y depósitos
2011;G;8;87;;;Aport. Patrimoniales;Aportaciones Patrimoniales
2011;G;9;90;;;Amortiz. Deuda Pública;Amortización de Deuda Pública
2011;G;9;91;;;Amortización préstamos;Amortización de Préstamos
2011;G;9;95;;;Amortiz. prést. avalados;Amortización de Préstamos avalados
2011;G;1;10;100;;Básicas y otras Alt.Cargo;Retribuciones básicas y otras remuneraciones de Altos Cargos
2011;G;1;11;110;;Básicas y otras P.Ev.Gab.;Retribuciones básicas y otras remuneraciones de Personal Eventual de Gabinete
2011;G;1;12;120;;Ret. básicas Funcionarios;Retribuciones básicas de Personal Funcionario
2011;G;1;12;121;;Retr. compl. Funcionarios;Retribuciones complementarias de Personal Funcionario
2011;G;1;12;122;;Retr.especie Func. Doc.;Retribuciones en especie de Personal Funcionario
2011;G;1;12;123;;Retr. Bás. P Func Docente;Retribuciones Básicas Personal Funcionario Docente
2011;G;1;12;124;;Retr. Com. P Func Docente;Retribuciones Complementarias Personal Funcionario Docente
2011;G;1;12;125;;RB F Nal. Justicia;Retribuciones Básicas del Personal Funcionario de los Cuerpos         Nacionales al servicio de la Administración de Justicia
2011;G;1;12;126;;RC F Nal. Justicia;Retribuciones Complementarias de Personal Funcionario de los Cuerpos  Nacionales al servicio de la Administración de Justicia
2011;G;1;13;130;;Laboral fijo;Laboral fijo
2011;G;1;13;131;;Laboral Eventual;Laboral Eventual
2011;G;1;14;140;;Otro personal;Otro personal
2011;G;1;15;150;;Productividad;Productividad
2011;G;1;15;151;;Gratificaciones;Gratificaciones
2011;G;1;16;160;;Cuotas Sociales;Cuotas Sociales
2011;G;1;16;161;;Gtos.Soc.Func. y no labor;Gastos sociales de Funcionarios y personal no Laboral
2011;G;1;16;162;;Gtos. sociales Laborales;Gastos sociales de Personal Laboral
2011;G;1;16;165;;Fondo de Acción Social;Fondo de Acción Social
2011;G;1;17;170;;Fondo Incremento Norm.;Fondo de Incremento Normativo
