EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2011;01;Cortes de Aragón;Cortes de Aragón
2011;0100;Ingresos de las Cortes de Aragón;Ingresos de las Cortes de Aragón
2011;01000;Ingresos de las Cortes de Aragón;Ingresos de las Cortes de Aragón
2011;0101;Cortes de Aragón;Cortes de Aragón
2011;01010;Cortes de Aragón;Cortes de Aragón
2011;0102;El Justicia de Aragón;El Justicia de Aragón
2011;01020;El Justicia de Aragón;El Justicia de Aragón
2011;0103;Cámara de Cuentas de Aragón;Cámara de Cuentas de Aragón
2011;01030;Cámara de Cuentas de Aragón;Cámara de Cuentas de Aragón
2011;02;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2011;0200;Ingresos de Presidencia Gobierno Aragón;Ingresos de la Presidencia del Gobierno de Aragón
2011;02000;Ingresos de Presidencia del Gobierno;Ingresos de la Presidencia del Gobierno de Aragón
2011;0201;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2011;02010;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2011;03;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2011;0300;Ingresos Consejo Consultivo de Aragón;Ingresos del Consejo Consultivo de Aragón
2011;03000;Ingresos Consejo Consultivo de Aragón;Ingresos del Consejo Consultivo de Aragón
2011;0301;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2011;03010;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2011;04;Vicepresidencia del Gobierno;Vicepresidencia del Gobierno
2011;0400;Ingresos de Vicepresidencia de Gobierno;No operativo
2011;04000;Ingresos de Vicepresidencia de Gobierno;No operativo
2011;0401;S.G.T. Vicepresidencia;Secretaría General Técnica de la Vicepresidencia
2011;04010;S.G.T. Vicepresidencia;Secretaría General Técnica de la Vicepresidencia
2011;0402;D.G. de Desarrollo Estatutario;Dirección General de Desarrollo Estatutario
2011;04020;D.G. de Desarrollo Estatutario;Dirección General de Desarrollo Estatutario
2011;09;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2011;0900;Ingresos Consejo Ec. y Social de Aragón;Ingresos del Consejo Económico y Social de Aragón
2011;09000;Ingresos Consejo Ec. y Social de Aragón;Ingresos del Consejo Económico y Social de Aragón
2011;0901;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2011;09010;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2011;10;Presidencia;Presidencia
2011;1000;Ingresos de Presidencia;Ingresos de Presidencia
2011;10000;Ingresos de Presidencia y Justicia;Ingresos de Presidencia y Justicia
2011;1001;S.G.T. Presidencia;Secretaría General Técnica de Presidencia
2011;10010;S.G.T. Presidencia;Secretaría General Técnica de Presidencia
2011;1002;Dirección General de Servicios Jurídicos;Dirección General de Servicios Jurídicos
2011;10020;Dirección General de Servicios Jurídicos;Dirección General de Servicios Jurídicos
2011;1003;D.G. Organización,Inspección y Servicios;Dirección General de Organización, Inspección y Servicios
2011;10030;D.G. Organización,Inspección y Servicios;Dirección General de Organización, Inspección y Servicios
2011;1004;D.G. de Relaciones Institucionales;D.G. de Relaciones Institucionales
2011;10040;D.G. de Relaciones Institucionales;D.G. de Relaciones Institucionales
2011;1005;D.G. de Participación Ciudadana;Dirección General de Participación Ciudadana
2011;10050;D.G. de Participación Ciudadana;Dirección General de Participación Ciudadana
2011;1006;Dirección General de la Función Pública;Dirección General de la Función Pública
2011;10060;Dirección General de la Función Pública;Dirección General de la Función Pública
2011;1007;D.G. de Acción Exterior;Dirección General de Acción Exterior
2011;10070;D.G. de Acción Exterior;Dirección General de Acción Exterior
2011;11;Presidencia y Relaciones Institucionales;Presidencia y Relaciones Institucionales
2011;11;Política Territorial,Justicia e Interior;Presidencia y Relaciones Institucionales
2011;1100;Ingresos de Presidencia y RR.II.;Ingresos de Presidencia y Relaciones Institucionales
2011;1100;Ingresos Pol.Territorial,Just. e Inter.;Ingresos de Política Territorial, Justicia e Interior
2011;11000;Ingresos Presidencia y Relaciones Instit;Ingresos de Presidencia y Relaciones Institucionales
2011;11000;Ingresos Pol.Territorial,Just. e Inter.;Ingresos de Política Territorial, Justicia e Interior
2011;1101;S.G.T. de Presidencia y RR.II.;Secretaría General Técnica de Presidencia y Relaciones Institucionales
2011;1101;S.G.T. de Pol.Territorial,Just. e Inter.;Secretaría General Técnica de Política Territorial, Justicia e Interior
2011;11010;S.G.T. de Presidencia y RR.II.;Secretaría General Técnica de Presidencia y Relaciones Institucionales
2011;11010;S.G.T. de Pol.Territorial,Just. e Inter.;Secretaría General Técnica de Política Territorial, Justicia e Interior
2011;1102;Dirección General de Servicios Jurídicos;Dirección General de Servicios Jurídicos
2011;1102;D.G. de Administración de Justicia;Dirección General de Administración de Justicia
2011;11020;Dirección General de Servicios Jurídicos;Dirección General de Servicios Jurídicos
2011;11020;D.G. de Administración de Justicia;Dirección General de Administración de Justicia
2011;1103;D.G. Organización,Inspección y Servicios;Dirección General de Organización, Inspección y Servicios
2011;1103;D.G. de Administración Local;Dirección General de Administración Local
2011;11030;D.G. Organización,Inspección y Servicios;Dirección General de Organización, Inspección y Servicios
2011;11030;D.G. de Administración Local;Dirección General de Administración Local
2011;1104;D.G.Admón Local y Política Territorial;Dirección General de Administración Local y Política Territorial
2011;1104;D.G. de Ordenación del Territorio;Dirección General de Ordenación del Territorio
2011;11040;D.G.Admón Local y Política Territorial;Dirección General de Administración Local y Política Territorial
2011;11040;D.G. de Ordenación del Territorio;Dirección General de Ordenación del Territorio
2011;1105;Dirección General de Interior;Dirección General de Interior
2011;11050;Dirección General de Interior;Dirección General de Interior
2011;1106;Delegación Territorial de Huesca;Delegación Territorial de Huesca
2011;11060;Delegación Territorial de Huesca;Delegación Territorial de Huesca
2011;1107;Delegación Territorial de Teruel;Delegación Territorial de Teruel
2011;11070;Delegación Territorial de Teruel;Delegación Territorial de Teruel
2011;1111;Política Territorial,Justicia e Interior;Política Territorial,Justicia e Interior
2011;11110;Política Territorial,Justicia e Interior;Política Territorial,Justicia e Interior
2011;12;Economía, Hacienda y Empleo;Economía, Hacienda y Empleo
2011;1200;Ingresos de Hacienda y Adm. Pública;Ingresos de Hacienda y Administración Pública
2011;12000;Ingresos de Hacienda y Adm. Pública;Hacienda y Administración Pública
2011;1201;S.G.T. de Economía, Hacienda y Empleo;Secretaría General Técnica de Economía, Hacienda y Empleo
2011;12010;S.G.T. de Economía, Hacienda y Empleo;Secretaría General Técnica de Economía, Hacienda y Empleo
2011;1202;D.G. Presupuestos,Tesorería y Patrimonio;Dirección General de Presupuestos,Tesorería y Patrimonio
2011;12020;D.G. Presupuestos,Tesorería y Patrimonio;Dirección General de Presupuestos,Tesorería y Patrimonio
2011;1203;Dirección General de Política Económica;Dirección General de Política Económica
2011;12030;Dirección General de Política Económica;Dirección General de Política Económica
2011;1204;Intervención General;Intervención General
2011;12040;Intervención General;Intervención General
2011;1205;Dirección General de Tributos;Dirección General de Tributos
2011;12050;Dirección General de Tributos;Dirección General de Tributos
2011;1206;Dirección General de la Función Pública;Dirección General de la Función Pública
2011;1206;Dirección General de Promoción Económica;Dirección General de Promoción Económica
2011;12060;Dirección General de la Función Pública;Dirección General de la Función Pública
2011;12060;Dirección General de Promoción Económica;Dirección General de Promoción Económica
2011;1207;D.G. de Trabajo e Inmigración;Dirección General de Trabajo e Inmigración
2011;1207;D.G. de Trabajo;Dirección General de Trabajo e Inmigración
2011;12070;D.G. de Trabajo;Dirección General de Trabajo
2011;1208;D.G. Asuntos Europeos y Acción Exterior;Dirección General de Asuntos Europeos y Acción Exterior
2011;12080;D.G. Asuntos Europeos y Acción Exterior;No operativo
2011;1250;Ingresos de Secciones Presupuestarias;Ingresos de Secciones Presupuestarias
2011;12500;Ingresos de Secciones Presupuestarias;Ingresos de Secciones Presupuestarias
2011;1251;Ingresos Servicio Provincial de Zaragoza;Ingresos Servicio Provincial de Zaragoza
2011;12510;Ingresos Servicio Provincial de Zaragoza;Ingresos Servicio Provincial de Zaragoza
2011;1252;Ingresos Servicio Provincial de Huesca;Ingresos Servicio Provincial de Huesca
2011;12520;Ingresos Servicio Provincial de Huesca;Ingresos Servicio Provincial de Huesca
2011;1253;Ingresos Servicio Provincial de Teruel;Ingresos Servicio Provincial de Teruel
2011;12530;Ingresos Servicio Provincial de Teruel;Ingresos Servicio Provincial de Teruel
2011;13;Obras Públicas, Urbanismo y Transportes;Obras Públicas, Urbanismo y Transportes
2011;1300;Ingresos de Obras P., Urbanismo y Ttes;Ingresos de Obras Públicas, Urbanismo y Transportes
2011;13000;Ingresos de Obras P., Urbanismo y Ttes;Ingresos de Obras Públicas, Urbanismo y Transportes
2011;1301;S.G.T. Obras Públicas, Urbanismo y Ttes.;Secretaría General Técnica de Obras Públicas, Urbanismo y Transportes
2011;13010;S.G.T. Obras Públicas, Urbanismo y Ttes.;Secretaría General Técnica de Obras Públicas, Urbanismo y Transportes
2011;1302;Dirección General de Carreteras;Dirección General de Carreteras
2011;13020;Dirección General de Carreteras;Dirección General de Carreteras
2011;1303;Dirección General de Urbanismo;Dirección General de Urbanismo
2011;13030;Dirección General de Urbanismo;Dirección General de Urbanismo
2011;1304;Dirección General de Transportes;Dirección General de Transportes
2011;13040;Dirección General de Transportes;Dirección General de Transportes
2011;1305;D.G. de Vivienda y Rehabilitación;Dirección General de Vivienda y Rehabilitación
2011;13050;D.G. de Vivienda y Rehabilitación;Dirección General de Vivienda y Rehabilitación
2011;14;Agricultura y Alimentación;Agricultura y Alimentación
2011;1400;Ingresos Agricultura y Alimentación;Ingresos de Agricultura y Alimentación
2011;14000;Ingresos de Agricultura y Alimentación;Ingresos de Agricultura y Alimentación
