EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2007;01010;1111;100000;91002;Retribuciones básicas de Altos Cargos;2.481.244,64
2007;01010;1111;100001;91002;Otras remuneraciones de Altos Cargos;184.597,70
2007;01010;1111;110000;91002;Retribuciones básicas Pers. Eventual de Gabinete;125.132,14
2007;01010;1111;110001;91002;Otras remuneraciones de Pers. Eventual de Gabinete;137.211,62
2007;01010;1111;120000;91002;Sueldos de Personal Funcionario;1.188.936,60
2007;01010;1111;120005;91002;Trienios de Personal Funcionario;373.568,14
2007;01010;1111;120006;91002;Pagas extraordinarias de Personal Funcionario;402.085,84
2007;01010;1111;121000;91002;Complemento de destino de Personal Funcionario;542.212,32
2007;01010;1111;121001;91002;Complemento específico de Personal Funcionario;369.925,08
2007;01010;1111;121009;91002;Otras retribuciones complementarias Funcionarios;5.708,88
2007;01010;1111;122002;91002;Otras retribuciones en especie;115.000,00
2007;01010;1111;130000;91002;Salario base de Personal Laboral Fijo;112.961,28
2007;01010;1111;130001;91002;Antigüedad de Personal Laboral Fijo;18.683,28
2007;01010;1111;130002;91002;Pagas extraordinarias de Personal Laboral Fijo;32.067,92
2007;01010;1111;130003;91002;Otras remuneraciones de Personal Laboral Fijo;60.762,96
2007;01010;1111;131000;91002;Salario base de Personal Laboral Eventual;24.378,00
2007;01010;1111;131001;91002;Otras remuneraciones de Personal Laboral Eventual;19.507,80
2007;01010;1111;150000;91002;Productividad fija de Funcionarios;192.110,16
2007;01010;1111;151000;91002;Gratificaciones de Personal Funcionario;35.709,61
2007;01010;1111;151001;91002;Gratificaciones de Personal no Funcionario;900,51
2007;01010;1111;160000;91002;Seguridad social;1.184.627,55
2007;01010;1111;160001;91002;MUFACE;15.628,48
2007;01010;1111;161000;91002;Formación y perfeccion. Funcionarios y no Laboral;15.675,00
2007;01010;1111;161001;91002;Economatos y comedores. Funcionarios y no Laboral;60.000,00
2007;01010;1111;161009;91002;Otros Gtos Sociales de Funcionarios y no Laborales;9.649,45
2007;01010;1111;162000;91002;Formación y perfeccionamiento de Personal Laboral;325,03
2007;01010;1111;162001;91002;Economatos y comedores de Personal Laboral;1.345,58
2007;01010;1111;162009;91002;Otros gastos sociales de Personal Laboral;134,56
2007;01010;1111;165000;91002;Fondo de Acción Social;83.652,57
2007;01010;1111;202000;91002;Arrendamientos de edificios y otras construcciones;622,05
2007;01010;1111;203000;91002;Arrendamientos maquinaria, instalación y utillaje;12.000,00
2007;01010;1111;204000;91002;Arrendamientos de material de transporte;622,05
2007;01010;1111;205000;91002;Arrendamientos de mobiliario y enseres;155,51
2007;01010;1111;206000;91002;Arrendamientos de equipos procesos de información;78.192,00
2007;01010;1111;212000;91002;Rep. y conservación edificios y otras construcc.;120.000,00
2007;01010;1111;213000;91002;Rep. y conserv. maquinaria,instalaciones,utillaje;165.000,00
2007;01010;1111;214000;91002;Reparación y conservación material de transporte;8.280,00
2007;01010;1111;215000;91002;Reparación y conservación de mobiliario y enseres;30.000,00
2007;01010;1111;216000;91002;Rep. y conserv. equipos procesos de información;114.200,00
2007;01010;1111;220000;91002;Ordinario no inventariable;60.000,00
2007;01010;1111;220001;91002;Mobiliario y enseres;20.000,00
2007;01010;1111;220002;91002;Prensa, revistas y publicaciones periódicas;175.295,00
2007;01010;1111;220003;91002;Libros y otras publicaciones;240.547,64
2007;01010;1111;220004;91002;Material informático;30.000,00
2007;01010;1111;220009;91002;Otro material de oficina;17.305,20
2007;01010;1111;221000;91002;Energía eléctrica;250.000,00
2007;01010;1111;221001;91002;Agua;465,75
2007;01010;1111;221003;91002;Combustibles;16.223,63
2007;01010;1111;221004;91002;Vestuario;15.000,00
2007;01010;1111;221009;91002;Otros suministros;50.000,00
2007;01010;1111;222000;91002;Telefónicas;236.725,70
2007;01010;1111;222001;91002;Postales;20.000,00
2007;01010;1111;222002;91002;Telegráficas;3.500,00
2007;01010;1111;222009;91002;Otras comunicaciones;32.000,00
2007;01010;1111;223000;91002;Transporte;11.000,00
2007;01010;1111;224000;91002;Primas de Edificios y locales;3.110,24
2007;01010;1111;224001;91002;Primas de vehículos;12.138,16
2007;01010;1111;224002;91002;Primas de otro inmovilizado;25.000,00
2007;01010;1111;224003;91002;Otros riesgos;622,05
2007;01010;1111;225000;91002;Tributos locales;3.312,00
2007;01010;1111;226001;91002;Atenciones protocolarias y representativas;177.860,50
2007;01010;1111;226002;91002;Gastos de divulgación y promoción;187.912,44
2007;01010;1111;226004;91002;Remuneraciones a agentes mediadores independientes;2.587,50
2007;01010;1111;226005;91002;Reuniones y conferencias;100.000,00
2007;01010;1111;226009;91002;Otros gastos diversos;85.000,00
2007;01010;1111;227000;91002;Limpieza y aseo;295.000,00
2007;01010;1111;227001;91002;Seguridad;1.730.000,00
2007;01010;1111;227003;91002;Postales;16.068,38
2007;01010;1111;227004;91002;Custodia, depósito y almacenaje;5.356,13
2007;01010;1111;227006;91002;Estudios y trabajos técnicos;125.000,00
2007;01010;1111;227009;91002;Otros trabajos realizados por otras empresas;683.000,00
2007;01010;1111;230000;91002;Dietas;440.252,32
2007;01010;1111;231000;91002;Locomoción;435.630,66
2007;01010;1111;239000;91002;Otras indemnizaciones;171.090,00
2007;01010;1111;250000;91002;Gastos en pruebas selectivas;6.500,39
2007;01010;1111;251000;91002;Realización de cursos;6.000,00
2007;01010;1111;359000;91002;Otros gastos de depósitos, fianzas y avales;601,00
2007;01010;1111;480189;91002;Subvenciones a Grupos Parlamentarios;2.631.139,19
2007;01010;1111;480190;91002;Conciertos y convenios de las Cortes de Aragón;128.105,73
2007;01010;1111;602000;91002;Edificios y otras construcciones;5.200.000,00
2007;01010;1111;603000;91002;Maquinaria, instalación y utillaje;180.000,00
2007;01010;1111;605000;91002;Mobiliario y enseres;50.000,00
2007;01010;1111;606000;91002;Equipos para procesos de información;45.000,00
2007;01010;1111;608000;71002;Otro inmovilizado material;100.000,00
2007;01010;1111;609000;91002;Inmovilizado Inmaterial;183.000,00
2007;01010;1113;120000;91002;Sueldos de Personal Funcionario;48.217,56
2007;01010;1113;120005;91002;Trienios de Personal Funcionario;14.387,04
2007;01010;1113;120006;91002;Pagas extraordinarias de Personal Funcionario;15.910,38
2007;01010;1113;121000;91002;Complemento de destino de Personal Funcionario;22.268,52
2007;01010;1113;121001;91002;Complemento específico de Personal Funcionario;10.589,16
2007;01010;1113;130000;91002;Salario base de Personal Laboral Fijo;22.868,64
2007;01010;1113;130001;91002;Antigüedad de Personal Laboral Fijo;9.149,76
2007;01010;1113;130002;91002;Pagas extraordinarias de Personal Laboral Fijo;6.727,76
2007;01010;1113;130003;91002;Otras remuneraciones de Personal Laboral Fijo;8.348,16
2007;01010;1113;150000;91002;Productividad fija de Funcionarios;9.148,08
2007;01010;1113;160000;91002;Seguridad social;34.747,66
2007;01010;1113;203000;91002;Arrendamientos maquinaria, instalación y utillaje;155,51
2007;01010;1113;205000;91002;Arrendamientos de mobiliario y enseres;155,51
2007;01010;1113;206000;91002;Arrendamientos de equipos procesos de información;300,51
2007;01010;1113;212000;91002;Rep. y conservación edificios y otras construcc.;42.000,00
2007;01010;1113;213000;91002;Rep. y conserv. maquinaria,instalaciones,utillaje;4.662,74
2007;01010;1113;215000;91002;Reparación y conservación de mobiliario y enseres;3.000,00
2007;01010;1113;216000;91002;Rep. y conserv. equipos procesos de información;601,01
2007;01010;1113;220002;91002;Prensa, revistas y publicaciones periódicas;601,01
2007;01010;1113;220003;91002;Libros y otras publicaciones;39.000,00
2007;01010;1113;221009;91002;Otros suministros;36.000,00
2007;01010;1113;223000;91002;Transporte;3.005,06
2007;01010;1113;224003;91002;Otros riesgos;3.005,06
2007;01010;1113;226002;91002;Gastos de divulgación y promoción;300.506,05
2007;01010;1113;226005;91002;Reuniones y conferencias;6.000,00
2007;01010;1113;227000;91002;Limpieza y aseo;41.800,00
2007;01010;1113;227001;91002;Seguridad;235.000,00
2007;01010;1113;227006;91002;Estudios y trabajos técnicos;6.000,00
2007;01010;1113;227009;91002;Otros trabajos realizados por otras empresas;200.000,00
2007;01010;1113;230000;91002;Dietas;601,01
2007;01010;1113;231000;91002;Locomoción;601,01
2007;01010;1113;359000;91002;Otros gastos de depósitos, fianzas y avales;601,00
2007;01010;1113;480190;91002;Conciertos y convenios de las Cortes de Aragón;42.071,00
2007;01010;1113;609000;91002;Inmovilizado Inmaterial;30.050,61
2007;01020;1112;100000;91002;Retribuciones básicas de Altos Cargos;29.231,30
2007;01020;1112;100001;91002;Otras remuneraciones de Altos Cargos;46.691,12
2007;01020;1112;110000;91002;Retribuciones básicas Pers. Eventual de Gabinete;405.837,74
2007;01020;1112;110001;91002;Otras remuneraciones de Pers. Eventual de Gabinete;332.454,08
2007;01020;1112;120000;91002;Sueldos de Personal Funcionario;139.787,40
2007;01020;1112;120005;91002;Trienios de Personal Funcionario;93.366,32
2007;01020;1112;120006;91002;Pagas extraordinarias de Personal Funcionario;46.376,88
2007;01020;1112;121000;91002;Complemento de destino de Personal Funcionario;62.355,36
2007;01020;1112;121001;91002;Complemento específico de Personal Funcionario;35.067,96
2007;01020;1112;121009;91002;Otras retribuciones complementarias Funcionarios;11.429,04
2007;01020;1112;122002;91002;Otras retribuciones en especie;17.500,00
2007;01020;1112;150000;91002;Productividad fija de Funcionarios;45.311,40
2007;01020;1112;151000;91002;Gratificaciones de Personal Funcionario;4.808,10
2007;01020;1112;151001;91002;Gratificaciones de Personal no Funcionario;4.808,10
2007;01020;1112;160000;91002;Seguridad social;202.020,16
2007;01020;1112;160001;91002;MUFACE;1.779,40
2007;01020;1112;160009;91002;Otras cuotas sociales;9.651,60
2007;01020;1112;161000;91002;Formación y perfeccion. Funcionarios y no Laboral;3.606,07
2007;01020;1112;161009;91002;Otros Gtos Sociales de Funcionarios y no Laborales;1.760,00
2007;01020;1112;165000;91002;Fondo de Acción Social;27.500,00
2007;01020;1112;202000;91002;Arrendamientos de edificios y otras construcciones;300,00
2007;01020;1112;206000;91002;Arrendamientos de equipos procesos de información;4.400,00
2007;01020;1112;212000;91002;Rep. y conservación edificios y otras construcc.;5.250,00
2007;01020;1112;213000;91002;Rep. y conserv. maquinaria,instalaciones,utillaje;25.000,00
2007;01020;1112;214000;91002;Reparación y conservación material de transporte;2.400,00
2007;01020;1112;215000;91002;Reparación y conservación de mobiliario y enseres;800,00
2007;01020;1112;216000;91002;Rep. y conserv. equipos procesos de información;6.000,00
2007;01020;1112;220000;91002;Ordinario no inventariable;16.500,00
2007;01020;1112;220001;91002;Mobiliario y enseres;2.100,00
2007;01020;1112;220002;91002;Prensa, revistas y publicaciones periódicas;15.500,00
2007;01020;1112;220003;91002;Libros y otras publicaciones;140.000,00
2007;01020;1112;220004;91002;Material informático;4.000,00
2007;01020;1112;220009;91002;Otro material de oficina;1.200,00
2007;01020;1112;221000;91002;Energía eléctrica;31.000,00
2007;01020;1112;221001;91002;Agua;3.250,00
2007;01020;1112;221003;91002;Combustibles;4.600,00
2007;01020;1112;221004;91002;Vestuario;2.294,00
2007;01020;1112;221009;91002;Otros suministros;2.000,00
2007;01020;1112;222000;91002;Telefónicas;34.300,00
2007;01020;1112;222001;91002;Postales;206,20
2007;01020;1112;222002;91002;Telegráficas;206,20
2007;01020;1112;222009;91002;Otras comunicaciones;6.000,00
2007;01020;1112;223000;91002;Transporte;4.250,00
2007;01020;1112;224000;91002;Primas de Edificios y locales;4.400,00
2007;01020;1112;224001;91002;Primas de vehículos;2.800,00
2007;01020;1112;224002;91002;Primas de otro inmovilizado;100,00
2007;01020;1112;224003;91002;Otros riesgos;100,00
2007;01020;1112;226001;91002;Atenciones protocolarias y representativas;22.860,36
2007;01020;1112;226002;91002;Gastos de divulgación y promoción;44.219,60
2007;01020;1112;226005;91002;Reuniones y conferencias;12.500,00
2007;01020;1112;226009;91002;Otros gastos diversos;3.219,81
2007;01020;1112;227000;91002;Limpieza y aseo;60.000,00
2007;01020;1112;227001;91002;Seguridad;46.000,00
2007;01020;1112;227003;91002;Postales;14.500,00
2007;01020;1112;227006;91002;Estudios y trabajos técnicos;39.270,00
2007;01020;1112;227009;91002;Otros trabajos realizados por otras empresas;14.000,00
2007;01020;1112;230000;91002;Dietas;17.500,00
2007;01020;1112;231000;91002;Locomoción;6.766,50
2007;01020;1112;239000;91002;Otras indemnizaciones;600,00
2007;01020;1112;250000;91002;Gastos en pruebas selectivas;1.800,00
2007;01020;1112;251000;91002;Realización de cursos;1.000,00
2007;01020;1112;480191;91002;Convenio con el Justicia de Aragón;18.631,37
2007;01020;1112;602000;91002;Edificios y otras construcciones;3.000,00
2007;01020;1112;603000;91002;Maquinaria, instalación y utillaje;8.000,00
2007;01020;1112;605000;91002;Mobiliario y enseres;6.000,00
2007;01020;1112;606000;91002;Equipos para procesos de información;14.000,00
2007;01020;1112;609000;91002;Inmovilizado Inmaterial;10.000,00
2007;01030;1114;100000;91002;Retribuciones básicas de Altos Cargos;601,01
2007;01030;1114;100001;91002;Otras remuneraciones de Altos Cargos;601,01
2007;01030;1114;110000;91002;Retribuciones básicas Pers. Eventual de Gabinete;601,01
2007;01030;1114;110001;91002;Otras remuneraciones de Pers. Eventual de Gabinete;601,01
2007;01030;1114;120000;91002;Sueldos de Personal Funcionario;601,01
2007;01030;1114;120005;91002;Trienios de Personal Funcionario;601,01
2007;01030;1114;121000;91002;Complemento de destino de Personal Funcionario;601,01
2007;01030;1114;121001;91002;Complemento específico de Personal Funcionario;601,01
2007;01030;1114;160000;91002;Seguridad social;601,01
2007;01030;1114;240000;91002;Arrendamientos para servicios nuevos;601,01
2007;01030;1114;241000;91002;Reparación y conservación para servicios nuevos;601,01
2007;01030;1114;242000;91002;Material,suministros y otros para servicios nuevos;601,01
2007;01030;1114;605000;91002;Mobiliario y enseres;601,01
2007;01030;1114;606000;91002;Equipos para procesos de información;601,01
2007;02010;1121;100000;91002;Retribuciones básicas de Altos Cargos;18.840,12
2007;02010;1121;100001;91002;Otras remuneraciones de Altos Cargos;65.872,20
2007;02010;1121;110000;91002;Retribuciones básicas Pers. Eventual de Gabinete;687.342,60
2007;02010;1121;110001;91002;Otras remuneraciones de Pers. Eventual de Gabinete;1.260.805,68
2007;02010;1121;120000;91002;Sueldos de Personal Funcionario;246.406,68
2007;02010;1121;120005;91002;Trienios de Personal Funcionario;71.787,50
2007;02010;1121;120006;91002;Pagas extraordinarias de Personal Funcionario;76.153,22
2007;02010;1121;121000;91002;Complemento de destino de Personal Funcionario;176.086,80
2007;02010;1121;121001;91002;Complemento específico de Personal Funcionario;375.072,00
2007;02010;1121;130000;91002;Salario base de Personal Laboral Fijo;71.056,68
2007;02010;1121;130001;91002;Antigüedad de Personal Laboral Fijo;8.813,28
2007;02010;1121;130002;91002;Pagas extraordinarias de Personal Laboral Fijo;12.853,02
2007;02010;1121;130003;91002;Otras remuneraciones de Personal Laboral Fijo;59.049,60
2007;02010;1121;151000;91002;Gratificaciones de Personal Funcionario;16.000,00
2007;02010;1121;151001;91002;Gratificaciones de Personal no Funcionario;48.000,00
2007;02010;1121;160000;91002;Seguridad social;757.285,76
2007;02010;1121;161000;91002;Formación y perfeccion. Funcionarios y no Laboral;9.000,00
2007;02010;1121;162000;91002;Formación y perfeccionamiento de Personal Laboral;500,00
2007;02010;1121;202000;91002;Arrendamientos de edificios y otras construcciones;159.000,00
2007;02010;1121;204000;91002;Arrendamientos de material de transporte;1.100,00
2007;02010;1121;205000;91002;Arrendamientos de mobiliario y enseres;7.500,00
2007;02010;1121;212000;91002;Rep. y conservación edificios y otras construcc.;48.200,00
2007;02010;1121;214000;91002;Reparación y conservación material de transporte;59.000,00
2007;02010;1121;215000;91002;Reparación y conservación de mobiliario y enseres;6.500,00
2007;02010;1121;216000;91002;Rep. y conserv. equipos procesos de información;2.000,00
2007;02010;1121;220000;91002;Ordinario no inventariable;107.200,00
2007;02010;1121;220001;91002;Mobiliario y enseres;46.800,00
2007;02010;1121;220002;91002;Prensa, revistas y publicaciones periódicas;26.000,00
2007;02010;1121;220003;91002;Libros y otras publicaciones;65.500,00
2007;02010;1121;220004;91002;Material informático;700,00
2007;02010;1121;220009;91002;Otro material de oficina;700,00
2007;02010;1121;221000;91002;Energía eléctrica;3.200,00
2007;02010;1121;221001;91002;Agua;330,00
2007;02010;1121;221002;91002;Gas;330,00
2007;02010;1121;221003;91002;Combustibles;45.000,00
2007;02010;1121;221004;91002;Vestuario;330,00
2007;02010;1121;221006;91002;Productos farmacéuticos;1.050,00
2007;02010;1121;221009;91002;Otros suministros;32.800,00
2007;02010;1121;222000;91002;Telefónicas;196.500,00
2007;02010;1121;222001;91002;Postales;3.200,00
