EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2007;12500;100000;91003;Tarifa Autonómica del I.R.P.F.;692.642.448,98
2007;12500;110000;91003;Sobre adquisiciones por herencia o legado;131.800.000,00
2007;12500;110003;91003;Donaciones;10.000.000,00
2007;12500;111000;91003;Sobre el patrimonio neto de las personas físicas;58.025.000,00
2007;12500;112000;91003;Sobre Grandes superficies;4.000.000,00
2007;12500;113000;91003;Sobre emisiones contaminantes;15.000.000,00
2007;12500;114000;91003;Sobre tendidos aéreos;1.700.000,00
2007;12500;200000;91003;Sobre Transmisiones Patrimoniales Onerosas;289.500.000,00
2007;12500;200001;91003;Sobre Operaciones Societarias;16.000.000,00
2007;12500;200002;91003;Sobre Transmisiones de vehículos;6.500.000,00
2007;12500;201000;91003;Efectos timbrados y otros;233.700.000,00
2007;12500;201001;91003;Exceso letras de cambio;13.300.000,00
2007;12500;210001;91003;I.V.A. Sobre Operaciones Internas;685.408.775,51
2007;12500;220000;91003;Sobre el alcohol y bebidas derivadas;14.925.306,12
2007;12500;220001;91003;Sobre Cerveza;3.705.306,12
2007;12500;220003;91003;Sobre labores de tabaco;76.843.469,39
2007;12500;220004;91003;S/ venta minorista de determinados hidrocarburos;38.000.000,00
2007;12500;220005;91003;Sobre determinados medios de transporte;36.456.000,00
2007;12500;220006;91003;Sobre productos intermedios;281.020,51
2007;12500;220007;91003;Sobre energía (electricidad);41.382.857,14
2007;12500;220008;91003;Sobre hidrocarburos;180.831.428,57
2007;12500;300003;91003;Venta de Bienes de Agricultura y Alimentación;20.000,00
2007;12500;300007;91003;Venta de Bienes de Educación, Cultura y Deporte;1.300,00
2007;12500;300050;91003;Venta de Bienes de Cortes de Aragón;9.000,00
2007;12500;301007;91003;Venta de Publicac. de Educación, Cultura y Deporte;65.000,00
2007;12500;301050;91003;Venta de Publicac. de Cortes de Aragón;12.000,00
2007;12500;302000;91003;Venta de cartones de bingo;685.135,00
2007;12500;312001;91003;Prestación de Servicios en Cartografía;150.000,00
2007;12500;312002;91003;Suscripión y venta del Boletín Oficial de Aragón;187.000,00
2007;12500;313000;91003;Cuotas alumnos Escuelas de Capacitación Agraria;49.090,24
2007;12500;315001;91003;Prestación de Servicios en residencias;350.000,00
2007;12500;316008;91003;Prestación de Servicios en guarderías;500.000,00
2007;12500;319005;91003;Otras Prest. de Svcios de Salud y Consumo;8.803.760,05
2007;12500;319007;91003;Otras Prest. de Svcios de Educ.,Cultura y Deporte;1.975.000,00
2007;12500;319050;91003;Otras Prest. de Svcios de las Cortes de Aragón;90.000,00
2007;12500;320004;91003;Tasa 04- Por Autorizaciones Espectáculos Públicos;60.000,00
