EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2012;01;Cortes de Aragón;Cortes de Aragón
2012;0100;Ingresos de las Cortes de Aragón;Ingresos de las Cortes de Aragón
2012;01000;Ingresos de las Cortes de Aragón;Ingresos de las Cortes de Aragón
2012;0101;Cortes de Aragón;Cortes de Aragón
2012;01010;Cortes de Aragón;Cortes de Aragón
2012;0102;El Justicia de Aragón;El Justicia de Aragón
2012;01020;El Justicia de Aragón;El Justicia de Aragón
2012;0103;Cámara de Cuentas de Aragón;Cámara de Cuentas de Aragón
2012;01030;Cámara de Cuentas de Aragón;Cámara de Cuentas de Aragón
2012;02;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2012;0200;Ingresos de Presidencia Gobierno Aragón;Ingresos de la Presidencia del Gobierno de Aragón
2012;02000;Ingresos de Presidencia del Gobierno;Ingresos de la Presidencia del Gobierno de Aragón
2012;0201;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2012;02010;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2012;03;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2012;0300;Ingresos Consejo Consultivo de Aragón;Ingresos del Consejo Consultivo de Aragón
2012;03000;Ingresos Consejo Consultivo de Aragón;Ingresos del Consejo Consultivo de Aragón
2012;0301;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2012;03010;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2012;09;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2012;0900;Ingresos Consejo Ec. y Social de Aragón;Ingresos del Consejo Económico y Social de Aragón
2012;09000;Ingresos Consejo Ec. y Social de Aragón;Ingresos del Consejo Económico y Social de Aragón
2012;0901;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2012;09010;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2012;10;Presidencia y Justicia;Presidencia y Justicia
2012;1000;Ingresos de Presidencia y Justicia;Ingresos de Presidencia y Justicia
2012;10000;Ingresos de Presidencia y Justicia;Ingresos de Presidencia y Justicia
2012;1001;S.G.T. Presidencia y Justicia;Secretaría General Técnica de Presidencia y Justicia
2012;10010;S.G.T. Presidencia y Justicia;Secretaría General Técnica de Presidencia y Justicia
2012;1002;Dirección General de Servicios Jurídicos;Dirección General de Servicios Jurídicos
2012;10020;Dirección General de Servicios Jurídicos;Dirección General de Servicios Jurídicos
2012;1003;D.G. de Desarrollo Estatutario;Dirección General de Desarrollo Estatutario
2012;10030;D.G. de Desarrollo Estatutario;Dirección General de Desarrollo Estatutario
2012;1004;D.G. Rel. Inst. y con Cortes de Aragón;D.G. de Relaciones Institucionales y con las Cortes de Aragón
2012;10040;D.G. Rel. Inst. y con Cortes de Aragón;D.G. de Relaciones Institucionales y con las Cortes de Aragón
2012;1005;D.G. Part. Ciudadana,Acc. Ext. y Cooper.;Dirección General de Participación Ciudadana, Acción Exterior y Cooperación
2012;10050;D.G. Part. Ciudadana,Acc. Ext. y Cooper.;Dirección General de Participación Ciudadana, Acción Exterior y Cooperación
2012;1006;D.G. de Administración de Justicia;Dirección General de Administración de Justicia
2012;10060;D.G. de Administración de Justicia;Dirección General de Administración de Justicia
2012;11;Política Territorial e Interior;Política Territorial e Interior
2012;1100;Ingresos Política Territorial e Interior;Ingresos de Política Territorial e Interior
2012;11000;Ingresos Política Territorial e Interior;Ingresos de Política Territorial e Interior
2012;1101;S.G.T. de Polít.Territorial e Interior;Secretaría General Técnica de Política Territorial e Interior
2012;11010;S.G.T. de Polít.Territorial e Interior;Secretaría General Técnica de Política Territorial e Interior
2012;1103;D.G. de Administración Local;Dirección General de Administración Local
2012;11030;D.G. de Administración Local;Dirección General de Administración Local
2012;1104;D.G. de Ordenación del Territorio;Dirección General de Ordenación del Territorio
2012;11040;D.G. de Ordenación del Territorio;Dirección General de Ordenación del Territorio
2012;1105;Dirección General de Interior;Dirección General de Interior
2012;11050;Dirección General de Interior;Dirección General de Interior
2012;1106;Delegación Territorial de Huesca;Delegación Territorial de Huesca
2012;11060;Delegación Territorial de Huesca;Delegación Territorial de Huesca
2012;1107;Delegación Territorial de Teruel;Delegación Territorial de Teruel
2012;11070;Delegación Territorial de Teruel;Delegación Territorial de Teruel
2012;12;Hacienda y Administración Pública;Hacienda y Administración Pública
2012;1200;Ingresos de Hacienda y Adm. Pública;Ingresos de Hacienda y Administración Pública
2012;12000;Ingresos de Hacienda y Adm. Pública;Hacienda y Administración Pública
2012;1201;S.G.T. de Hacienda y Administ. Pública;Secretaría General Técnica de Hacienda y Administración Pública
2012;12010;S.G.T. de Hacienda y Administ. Pública;Secretaría General Técnica de Hacienda y Administración Pública
2012;1202;D.G. Presupuestos,Financiación,Tesorería;Dirección General de Presupuestos, Financiación y Tesorería
2012;12020;D.G. Presupuestos,Financiación,Tesorería;Dirección General de Presupuestos, Financiación y Tesorería
2012;1203;D.G. Contratación, Patrimonio y Organiz.;Dirección General de Contratación, Patrimonio y Organización
2012;12030;D.G. Contratación, Patrimonio y Organiz.;Dirección General de Contratación, Patrimonio y Organización
2012;1204;Intervención General;Intervención General
2012;12040;Intervención General;Intervención General
2012;1205;Dirección General de Tributos;Dirección General de Tributos
2012;12050;Dirección General de Tributos;Dirección General de Tributos
2012;1206;D.G. Función Pública y Calidad de Serv.;Dirección General de Función Pública y Calidad de los Servicios
2012;12060;D.G. Función Pública y Calidad de Serv.;Dirección General de Función Pública y Calidad de los Servicios
