EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2012;01010;1111;100000;91002;Retribuciones básicas de Altos Cargos;2.414.299,58
2012;01010;1111;100001;91002;Otras remuneraciones de Altos Cargos;261.643,90
2012;01010;1111;110000;91002;Retribuciones básicas Pers. Eventual de Gabinete;145.184,76
2012;01010;1111;110001;91002;Otras remuneraciones de Pers. Eventual de Gabinete;167.792,52
2012;01010;1111;120000;91002;Sueldos de Personal Funcionario;1.437.683,04
2012;01010;1111;120005;91002;Trienios de Personal Funcionario;567.097,34
2012;01010;1111;120006;91002;Pagas extraordinarias de Personal Funcionario;527.906,50
2012;01010;1111;121000;91002;Complemento de destino de Personal Funcionario;648.462,60
2012;01010;1111;121001;91002;Complemento específico de Personal Funcionario;587.647,56
2012;01010;1111;122002;91002;Otras retribuciones en especie;130.000,00
2012;01010;1111;130000;91002;Salario base de Personal Laboral Fijo;96.070,80
2012;01010;1111;130001;91002;Antigüedad de Personal Laboral Fijo;37.800,60
2012;01010;1111;130002;91002;Pagas extraordinarias de Personal Laboral Fijo;30.109,02
2012;01010;1111;130003;91002;Otras remuneraciones de Personal Laboral Fijo;59.395,32
2012;01010;1111;131000;91002;Salario base de Personal Laboral Eventual;13.241,28
2012;01010;1111;131001;91002;Otras remuneraciones de Personal Laboral Eventual;12.800,54
2012;01010;1111;150000;91002;Productividad fija de Funcionarios;186.087,48
2012;01010;1111;151000;91002;Gratificaciones de Personal Funcionario;18.050,00
2012;01010;1111;151001;91002;Gratificaciones de Personal no Funcionario;950,00
2012;01010;1111;160000;91002;Seguridad social;1.351.822,95
2012;01010;1111;160001;91002;MUFACE;15.095,22
2012;01010;1111;160009;91002;Otras cuotas sociales;2.508,66
2012;01010;1111;161000;91002;Formación y perfeccion. Funcionarios y no Laboral;14.891,25
2012;01010;1111;161001;91002;Economatos y comedores. Funcionarios y no Laboral;61.750,00
2012;01010;1111;161009;91002;Otros Gtos Sociales de Funcionarios y no Laborales;12.350,00
2012;01010;1111;162000;91002;Formación y perfeccionamiento de Personal Laboral;285,00
2012;01010;1111;162001;91002;Economatos y comedores de Personal Laboral;1.140,00
2012;01010;1111;162009;91002;Otros gastos sociales de Personal Laboral;114,00
2012;01010;1111;165000;91002;Fondo de Acción Social;103.829,24
2012;01010;1111;203000;91002;Arrendamientos maquinaria, instalación y utillaje;7.000,00
2012;01010;1111;206000;91002;Arrendamientos de equipos procesos de información;156.687,00
2012;01010;1111;212000;91002;Rep. y conservación edificios y otras construcc.;150.000,00
2012;01010;1111;213000;91002;Rep. y conserv. maquinaria,instalaciones,utillaje;132.000,00
2012;01010;1111;214000;91002;Reparación y conservación material de transporte;8.000,00
