EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2012;12500;100000;91003;Tarifa Autonómica del I.R.P.F.;1.138.992.000,00
2012;12500;100001;91003;Tarifa Autonómica del I.R.P.F. - Ej. anteriores;57.570.000,00
2012;12500;110000;91003;Sobre adquisiciones por herencia o legado;135.000.000,00
2012;12500;110003;91003;Donaciones;10.000.000,00
2012;12500;111000;91003;Sobre el patrimonio neto de las personas físicas;30.000.000,00
2012;12500;112000;91003;Sobre Grandes superficies;4.000.000,00
2012;12500;113000;91003;Sobre emisiones contaminantes;1.000.000,00
2012;12500;200000;91003;Sobre Transmisiones Patrimoniales Onerosas;118.000.000,00
2012;12500;200001;91003;Sobre Operaciones Societarias;10.000.000,00
2012;12500;200002;91003;Sobre Transmisiones de vehículos;2.000.000,00
2012;12500;201000;91003;Efectos timbrados y otros;67.000.000,00
2012;12500;201001;91003;Exceso letras de cambio;50.000,00
2012;12500;201002;91003;Reintegros a metálico;2.950.000,00
2012;12500;210001;91003;I.V.A. Sobre Operaciones Internas;858.748.800,00
2012;12500;220000;91003;Sobre el alcohol y bebidas derivadas;16.329.600,00
2012;12500;220001;91003;Sobre Cerveza;4.790.400,00
2012;12500;220003;91003;Sobre labores de tabaco;134.150.400,00
2012;12500;220004;91003;S/ venta minorista de determinados hidrocarburos;40.000.000,00
2012;12500;220005;91003;Sobre determinados medios de transporte;15.000.000,00
2012;12500;220006;91003;Sobre productos intermedios;345.600,00
2012;12500;220007;91003;Sobre energía (electricidad);62.400.000,00
2012;12500;220008;91003;Sobre hidrocarburos;227.443.200,00
2012;72000;221000;91003;Canon de Saneamiento;38.638.833,80
2012;12500;300050;91003;Venta de Bienes de Cortes de Aragón;36.000,00
2012;12500;300100;91003;Venta de Bienes de Departamentos y Org. Públicos;803,64
2012;12500;301050;91003;Venta de Publicac. de Cortes de Aragón;25.000,00
2012;12500;301100;91003;Venta de Publicaciones Departamentos y Org. Públic;75.324,43
2012;12500;302000;91003;Venta de cartones de bingo;300.000,00
2012;12500;310050;91003;Entradas Cortes de Aragón;255.000,00
2012;55000;319100;91003;Prestación de Servicios en Residencias IASS;1.050.000,00
2012;53000;319100;91003;Prestación de Servicios en Residencias IASS;12.950.000,00
2012;55000;319102;91003;Prest. Servicios Centros Sociales y clubs IASS;9.000,00
2012;53000;319102;91003;Prest. Servicios Centros Sociales y clubs IASS;50.000,00
2012;12500;319103;91003;Prestación de servicios en guarderías;568.381,95
2012;55000;319104;91003;Prestación de servicios por Carnés Juveniles;20.000,00
2012;55000;319105;91003;Prestación de servicios en campamentos;15.000,00
2012;55000;319106;91003;Prestación de servicios en campos de trabajo;15.000,00
2012;55000;319107;91003;Prestación de servicios en albergues;207.000,00
2012;55000;319108;91003;Prestación de servicios del Carné Joven;749.005,68
2012;12500;319109;91003;Prestación de servicios en cartografía;2.000,00
2012;12500;319111;91003;Cuotas alumnos Inst. Formación Agroambiental;201.298,00
2012;12500;319112;91003;Prestación de servicios en comedores escolares;1.500.000,00
2012;52000;319115;91003;Prestación de servicios en hospitales del SAS;17.500.000,00
2012;12500;319116;91003;Prestación de Servicios en Residencias del SAS;600.000,00
2012;12500;319117;91003;Cuotas alumnos Inst. Formación Prof. Específica;745.108,71
2012;12500;319118;91003;Prestación Servicios RACI;116.000,00
2012;74000;319319;91003;Prestación de Servicios en laboratorios;100.000,00
2012;74000;319320;91003;Prestación servicios investigación agroalimentaria;400.000,00
2012;51000;329001;91003;Tasa 01- Dirección e inspección de obras;13.800,00
2012;72000;329001;91003;Tasa 01- Dirección e inspección de obras;31.939,94
2012;73000;329001;91003;Tasa 01- Dirección e inspección de obras;191.516,36
2012;53000;329001;91003;Tasa 01- Dirección e inspección de obras;270.000,00
2012;12500;329001;91003;Tasa 01- Dirección e inspección de obras;3.366.514,13
2012;72000;329003;91003;Tasa 03- Serv.admvos, redacc. informes,activ. fac;500,00
2012;12500;329003;91003;Tasa 03- Serv.admvos, redacc. informes,activ. fac.;70.000,00
2012;12500;329004;91003;Tasa 04- Por Autorizacones Espectáculos Públicos;17.703,00
2012;12500;329005;91003;Tasa 05-S. Mat. orde. transp. terr carretera;1.200.000,00
2012;12500;329006;91003;Tasa 06- Act. en materia de vivienda protegida;45.000,00
2012;12500;329007;91003;Tasa 07-Serv. Exped. cédula habitabilidad;4.000,00
2012;12500;329009;91003;Tasa 09-S. facult. ord. y def. de las ind for. ag.;60.000,00
2012;12500;329010;91003;Tasa 10-S. facultativos agronómicos;80.000,00
2012;12500;329011;91003;Tasa 11-Servicios  facultativos veterinarios;1.000.000,00
2012;12500;329012;91003;Tasa 12-Ins. y ctroles sanitarios  anim y sus prod;3.600,00
2012;12500;329013;91003;Tasa 13-Aut., Inspec., materia centros sanitarios;100.000,00
2012;12500;329014;91003;Tasa 14-Ord. activ. indust. energ. metrol. mineras;2.860.000,00
2012;12500;329015;91003;Tasa 15-Serv. exped. titulos académicos y profesio;559.106,97
2012;75000;329016;91003;Tasa 16-Expedición licencias caza y pesca;2.376.158,50
2012;75000;329017;91003;Tasa 17-S. facul. montes, forestales y v. pecuaria;95.827,08
