EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2009;01010;1111;100000;91002;Retribuciones básicas de Altos Cargos;2.623.732,02
2009;01010;1111;100001;91002;Otras remuneraciones de Altos Cargos;290.827,74
2009;01010;1111;110000;91002;Retribuciones básicas Pers. Eventual de Gabinete;150.289,02
2009;01010;1111;110001;91002;Otras remuneraciones de Pers. Eventual de Gabinete;162.595,30
2009;01010;1111;120000;91002;Sueldos de Personal Funcionario;1.449.906,24
2009;01010;1111;120005;91002;Trienios de Personal Funcionario;505.150,14
2009;01010;1111;120006;91002;Pagas extraordinarias de Personal Funcionario;511.332,66
2009;01010;1111;121000;91002;Complemento de destino de Personal Funcionario;650.790,60
2009;01010;1111;121001;91002;Complemento específico de Personal Funcionario;550.627,44
2009;01010;1111;122002;91002;Otras retribuciones en especie;120.000,00
2009;01010;1111;130000;91002;Salario base de Personal Laboral Fijo;121.826,88
2009;01010;1111;130001;91002;Antigüedad de Personal Laboral Fijo;25.013,40
2009;01010;1111;130002;91002;Pagas extraordinarias de Personal Laboral Fijo;36.915,86
2009;01010;1111;130003;91002;Otras remuneraciones de Personal Laboral Fijo;74.654,88
2009;01010;1111;131000;91002;Salario base de Personal Laboral Eventual;13.145,64
2009;01010;1111;131001;91002;Otras remuneraciones de Personal Laboral Eventual;12.088,38
2009;01010;1111;150000;91002;Productividad fija de Funcionarios;229.233,72
2009;01010;1111;151000;91002;Gratificaciones de Personal Funcionario;19.000,00
2009;01010;1111;151001;91002;Gratificaciones de Personal no Funcionario;1.000,00
2009;01010;1111;160000;91002;Seguridad social;1.342.467,89
2009;01010;1111;160001;91002;MUFACE;24.575,74
2009;01010;1111;160009;91002;Otras cuotas sociales;1.151,08
2009;01010;1111;161000;91002;Formación y perfeccion. Funcionarios y no Laboral;15.675,00
2009;01010;1111;161001;91002;Economatos y comedores. Funcionarios y no Laboral;65.000,00
2009;01010;1111;161009;91002;Otros Gtos Sociales de Funcionarios y no Laborales;10.700,00
2009;01010;1111;162000;91002;Formación y perfeccionamiento de Personal Laboral;325,03
