EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2009;12500;100000;91003;Tarifa Autonómica del I.R.P.F.;1.024.592.488,00
2009;12500;110000;91003;Sobre adquisiciones por herencia o legado;136.500.000,00
2009;12500;110003;91003;Donaciones;8.500.000,00
2009;12500;112000;91003;Sobre Grandes superficies;5.000.000,00
2009;12500;113000;91003;Sobre emisiones contaminantes;10.500.000,00
2009;12500;114000;91003;Sobre tendidos aéreos;800.000,00
2009;12500;200000;91003;Sobre Transmisiones Patrimoniales Onerosas;128.600.000,00
2009;12500;200001;91003;Sobre Operaciones Societarias;12.100.000,00
2009;12500;200002;91003;Sobre Transmisiones de vehículos;3.300.000,00
2009;12500;201000;91003;Efectos timbrados y otros;159.000.000,00
2009;12500;201001;91003;Exceso letras de cambio;50.000,00
2009;12500;201002;91003;Reintegros a metálico;7.000.000,00
2009;12500;210001;91003;I.V.A. Sobre Operaciones Internas;639.395.420,00
2009;12500;220000;91003;Sobre el alcohol y bebidas derivadas;14.090.644,00
2009;12500;220001;91003;Sobre Cerveza;3.811.043,00
2009;12500;220003;91003;Sobre labores de tabaco;95.961.746,00
2009;12500;220004;91003;S/ venta minorista de determinados hidrocarburos;40.000.000,00
2009;12500;220005;91003;Sobre determinados medios de transporte;31.500.000,00
2009;12500;220006;91003;Sobre productos intermedios;289.795,00
2009;12500;220007;91003;Sobre energía (electricidad);51.935.985,00
2009;12500;220008;91003;Sobre hidrocarburos;181.514.818,00
2009;12500;300003;91003;Venta de Bienes de Agricultura y Alimentación;7.000,00
2009;12500;300007;91003;Venta de Bienes de Educación, Cultura y Deporte;750,00
2009;12500;300050;91003;Venta de Bienes de Cortes de Aragón;9.000,00
2009;12500;301007;91003;Venta de Publicac. de Educación, Cultura y Deporte;70.297,50
2009;12500;301050;91003;Venta de Publicac. de Cortes de Aragón;20.000,00
2009;12500;302000;91003;Venta de cartones de bingo;700.000,00
2009;12500;312001;91003;Prestación de Servicios en Cartografía;65.000,00
2009;12500;315001;91003;Prestación de Servicios en residencias;600.000,00
2009;12500;316008;91003;Prestación de Servicios en guarderías;780.450,00
2009;12500;319005;91003;Otras Prest. de Svcios de Salud y Consumo;3.050.000,00
2009;12500;319007;91003;Otras Prest. de Svcios de Educ.,Cultura y Deporte;2.095.277,50
