EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2016;01;Cortes de Aragón;Cortes de Aragón
2016;0100;Ingresos de las Cortes de Aragón;Ingresos de las Cortes de Aragón
2016;01000;Ingresos de las Cortes de Aragón;Ingresos de las Cortes de Aragón
2016;0101;Cortes de Aragón;Cortes de Aragón
2016;01010;Cortes de Aragón;Cortes de Aragón
2016;0102;El Justicia de Aragón;El Justicia de Aragón
2016;01020;El Justicia de Aragón;El Justicia de Aragón
2016;0103;Cámara de Cuentas de Aragón;Cámara de Cuentas de Aragón
2016;01030;Cámara de Cuentas de Aragón;Cámara de Cuentas de Aragón
2016;02;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2016;0200;Ingresos de Presidencia Gobierno Aragón;Ingresos de Presidencia Gobierno Aragón
2016;02000;Ingresos de Presidencia del Gobierno;Ingresos de Presidencia del Gobierno
2016;0201;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2016;02010;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2016;03;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2016;0300;Ingresos Consejo Consultivo de Aragón;Ingresos Consejo Consultivo de Aragón
2016;03000;Ingresos Consejo Consultivo de Aragón;Ingresos Consejo Consultivo de Aragón
2016;0301;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2016;03010;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2016;04;Tribunal Admtvo. de Contratos Públicos de Aragón;Tribunal Admtvo. de Contratos Públicos de Aragón
2016;0400;Tribunal Admtvo. de Contratos Públicos de Aragón;Tribunal Admtvo. de Contratos Públicos de Aragón
2016;04000;Tribunal Admtvo. de Contratos Públicos de Aragón;Tribunal Admtvo. de Contratos Públicos de Aragón
2016;0401;Tribunal Admtvo. de Contratos Públicos de Aragón;Tribunal Admtvo. de Contratos Públicos de Aragón
2016;04010;Tribunal Admtvo. de Contratos Públicos de Aragón;Tribunal Admtvo. de Contratos Públicos de Aragón
2016;0402;No operativo;No operativo
2016;04020;No operativo;No operativo
2016;09;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2016;0900;Ingresos Consejo Ec. y Social de Aragón;Ingresos Consejo Ec. y Social de Aragón
2016;09000;Ingresos Consejo Ec. y Social de Aragón;Ingresos Consejo Ec. y Social de Aragón
2016;0901;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2016;09010;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2016;10;Presidencia;Presidencia
2016;1000;Ingresos de Presidencia;Ingresos de Presidencia
2016;10000;Ingresos de Presidencia;Ingresos de Presidencia
2016;1001;S.G.T. de Presidencia;S.G.T. de Presidencia
2016;10010;S.G.T. de Presidencia;S.G.T. de Presidencia
2016;1002;Dirección General de Servicios Jurídicos;Dirección General de Servicios Jurídicos
2016;10020;Dirección General de Servicios Jurídicos;Dirección General de Servicios Jurídicos
2016;1003;D.G. de Administración Local;D.G. de Administración Local
2016;10030;D.G. de Administración Local;D.G. de Administración Local
2016;1004;D.G. Rel. Institucionales y Desarrollo Estatutario;D.G. Rel. Institucionales y Desarrollo Estatutario
2016;10040;D.G. Rel. Institucionales y Desarrollo Estatutario;D.G. Rel. Institucionales y Desarrollo Estatutario
2016;1005;D.G. de Justicia e Interior;D.G. de Justicia e Interior
2016;10050;D.G. de Justicia e Interior;D.G. de Justicia e Interior
2016;1006;Delegación Territorial de Huesca;Delegación Territorial de Huesca
2016;10060;Delegación Territorial de Huesca;Delegación Territorial de Huesca
2016;1007;Delegación Territorial de Teruel;Delegación Territorial de Teruel
2016;10070;Delegación Territorial de Teruel;Delegación Territorial de Teruel
2016;11;Ciudadanía y Derechos Sociales;Ciudadanía y Derechos Sociales
2016;1100;Ingresos Ciudadanía y Derechos Sociales;Ingresos Ciudadanía y Derechos Sociales
2016;11000;Ingresos Ciudadanía y Derechos Sociales;Ingresos Ciudadanía y Derechos Sociales
2016;1101;S.G.T. de Ciudadanía y Derechos Sociales;S.G.T. de Ciudadanía y Derechos Sociales
2016;11010;S.G.T. de Ciudadanía y Derechos Sociales;S.G.T. de Ciudadanía y Derechos Sociales
2016;1102;"D.G. Part.Ciudadana, Transparencia, Coop. y Ac.Ext";"D.G. Part.Ciudadana, Transparencia, Coop. y Ac.Ext"
2016;11020;"D.G. Part.Ciudadana, Transparencia, Coop. y Ac.Ext";"D.G. Part.Ciudadana, Transparencia, Coop. y Ac.Ext"
2016;1103;D.G. de Protección de Consumidores y Usuarios;D.G. de Protección de Consumidores y Usuarios
2016;11030;D.G. de Protección de Consumidores y Usuarios;D.G. de Protección de Consumidores y Usuarios
2016;1104;D.G. de Igualdad y Familias;D.G. de Igualdad y Familias
2016;11040;D.G. de Igualdad y Familias;D.G. de Igualdad y Familias
2016;1105;No operativo;No operativo
2016;11050;No operativo;No operativo
2016;1106;No operativo;No operativo
2016;11060;No operativo;No operativo
2016;1107;No operativo;No operativo
2016;11070;No operativo;No operativo
2016;1111;No operativo;No operativo
2016;11110;No operativo;No operativo
2016;12;Hacienda y Administración Pública;Hacienda y Administración Pública
2016;1200;Ingresos de Hacienda y Adm. Pública;Ingresos de Hacienda y Adm. Pública
2016;12000;Ingresos de Hacienda y Adm. Pública;Ingresos de Hacienda y Adm. Pública
2016;1201;S.G.T. de Hacienda y Administ. Pública;S.G.T. de Hacienda y Administ. Pública
2016;12010;S.G.T. de Hacienda y Administ. Pública;S.G.T. de Hacienda y Administ. Pública
2016;1202;"D.G. Presupuestos,Financiación,Tesorería";"D.G. Presupuestos,Financiación,Tesorería"
2016;12020;"DG Presupuestos,Financiación y Tesorería";"DG Presupuestos,Financiación y Tesorería"
2016;1203;"D.G. Contratación, Patrimonio y Organiz.";"D.G. Contratación, Patrimonio y Organiz."
2016;12030;"D.G. Contratación, Patrimonio y Organiz.";"D.G. Contratación, Patrimonio y Organiz."
2016;1204;Intervención General;Intervención General
2016;12040;Intervención General;Intervención General
2016;1205;Dirección General de Tributos;Dirección General de Tributos
2016;12050;Dirección General de Tributos;Dirección General de Tributos
2016;1206;D.G. Función Pública y Calidad de Serv.;D.G. Función Pública y Calidad de Serv.
2016;12060;D.G. Función Pública y Calidad de Serv.;D.G. Función Pública y Calidad de Serv.
2016;1207;No operativo;No operativo
2016;12070;No operativo;No operativo
2016;1208;No operativo;No operativo
2016;12080;No operativo;No operativo
2016;1250;Ingresos de Secciones Presupuestarias;Ingresos de Secciones Presupuestarias
2016;12500;Ingresos de Secciones Presupuestarias;Ingresos de Secciones Presupuestarias
2016;1251;Ingresos Servicio Provincial de Zaragoza;Ingresos Servicio Provincial de Zaragoza
2016;12510;Ingresos Servicio Provincial de Zaragoza;Ingresos Servicio Provincial de Zaragoza
2016;1252;Ingresos Servicio Provincial de Huesca;Ingresos Servicio Provincial de Huesca
2016;12520;Ingresos Servicio Provincial de Huesca;Ingresos Servicio Provincial de Huesca
2016;1253;Ingresos Servicio Provincial de Teruel;Ingresos Servicio Provincial de Teruel
2016;12530;Ingresos Servicio Provincial de Teruel;Ingresos Servicio Provincial de Teruel
2016;13;"Vertebración del Territorio, Movilidad y Vivienda";"Vertebración del Territorio, Movilidad y Vivienda"
