EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2008;01;Cortes de Aragón;Cortes de Aragón
2008;0100;Ingresos de las Cortes de Aragón;Ingresos de las Cortes de Aragón
2008;01000;Ingresos de las Cortes de Aragón;Ingresos de las Cortes de Aragón
2008;0101;Cortes de Aragón;Cortes de Aragón
2008;01010;Cortes de Aragón;Cortes de Aragón
2008;0102;El Justicia de Aragón;El Justicia de Aragón
2008;01020;El Justicia de Aragón;El Justicia de Aragón
2008;0103;Cámara de Cuentas de Aragón;Cámara de Cuentas de Aragón
2008;01030;Cámara de Cuentas de Aragón;Cámara de Cuentas de Aragón
2008;02;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2008;0200;Ingresos de Presidencia Gobierno Aragón;Ingresos de la Presidencia del Gobierno de Aragón
2008;02000;Ingresos de Presidencia del Gobierno;Ingresos de la Presidencia del Gobierno de Aragón
2008;0201;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2008;02010;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2008;03;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2008;0300;Ingresos Consejo Consultivo de Aragón;Ingresos del Consejo Consultivo de Aragón
2008;03000;Ingresos Consejo Consultivo de Aragón;Ingresos del Consejo Consultivo de Aragón
2008;0301;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2008;03010;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2008;04;Vicepresidencia del Gobierno;Vicepresidencia del Gobierno
2008;0400;Ingresos de Vicepresidencia de Gobierno;No operativo
2008;04000;Ingresos de Vicepresidencia de Gobierno;No operativo
2008;0401;S.G.T. Vicepresidencia;Secretaría General Técnica de la Vicepresidencia
2008;04010;S.G.T. Vicepresidencia;Secretaría General Técnica de la Vicepresidencia
2008;0402;D.G. de Desarrollo Estatutario;Dirección General de Desarrollo Estatutario
2008;04020;D.G. de Desarrollo Estatutario;Dirección General de Desarrollo Estatutario
2008;09;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2008;0900;Ingresos Consejo Ec. y Social de Aragón;Ingresos del Consejo Económico y Social de Aragón
2008;09000;Ingresos Consejo Ec. y Social de Aragón;Ingresos del Consejo Económico y Social de Aragón
2008;0901;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2008;09010;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2008;10;Presidencia;Presidencia
2008;1000;Ingresos de Presidencia;Ingresos de Presidencia
2008;10000;Ingresos de Presidencia y Justicia;Ingresos de Presidencia y Justicia
2008;1001;S.G.T. Presidencia;Secretaría General Técnica de Presidencia
2008;10010;S.G.T. Presidencia;Secretaría General Técnica de Presidencia
2008;1002;Dirección General de Servicios Jurídicos;Dirección General de Servicios Jurídicos
2008;10020;Dirección General de Servicios Jurídicos;Dirección General de Servicios Jurídicos
2008;1003;D.G. Organización,Inspección y Servicios;Dirección General de Organización, Inspección y Servicios
2008;10030;D.G. Organización,Inspección y Servicios;Dirección General de Organización, Inspección y Servicios
2008;1004;D.G. de Relaciones Institucionales;D.G. de Relaciones Institucionales
2008;10040;D.G. de Relaciones Institucionales;D.G. de Relaciones Institucionales
2008;1005;D.G. de Participación Ciudadana;Dirección General de Participación Ciudadana
2008;10050;D.G. de Participación Ciudadana;Dirección General de Participación Ciudadana
2008;1006;Dirección General de la Función Pública;Dirección General de la Función Pública
2008;10060;Dirección General de la Función Pública;Dirección General de la Función Pública
2008;1007;D.G. de Acción Exterior;Dirección General de Acción Exterior
2008;10070;D.G. de Acción Exterior;Dirección General de Acción Exterior
2008;11;Política Territorial,Justicia e Interior;Presidencia y Relaciones Institucionales
2008;1100;Ingresos Pol.Territorial,Just. e Inter.;Ingresos de Política Territorial, Justicia e Interior
2008;11000;Ingresos Pol.Territorial,Just. e Inter.;Ingresos de Política Territorial, Justicia e Interior
2008;1101;S.G.T. de Pol.Territorial,Just. e Inter.;Secretaría General Técnica de Política Territorial, Justicia e Interior
2008;11010;S.G.T. de Pol.Territorial,Just. e Inter.;Secretaría General Técnica de Política Territorial, Justicia e Interior
2008;1102;D.G. de Administración de Justicia;Dirección General de Administración de Justicia
2008;11020;D.G. de Administración de Justicia;Dirección General de Administración de Justicia
2008;1103;D.G. de Administración Local;Dirección General de Administración Local
2008;11030;D.G. de Administración Local;Dirección General de Administración Local
2008;1104;D.G. de Ordenación del Territorio;Dirección General de Ordenación del Territorio
2008;11040;D.G. de Ordenación del Territorio;Dirección General de Ordenación del Territorio
2008;1105;Dirección General de Interior;Dirección General de Interior
2008;11050;Dirección General de Interior;Dirección General de Interior
2008;1106;Delegación Territorial de Huesca;Delegación Territorial de Huesca
2008;11060;Delegación Territorial de Huesca;Delegación Territorial de Huesca
2008;1107;Delegación Territorial de Teruel;Delegación Territorial de Teruel
2008;11070;Delegación Territorial de Teruel;Delegación Territorial de Teruel
2008;1111;Política Territorial,Justicia e Interior;Política Territorial,Justicia e Interior
2008;11110;Política Territorial,Justicia e Interior;Política Territorial,Justicia e Interior
2008;12;Economía, Hacienda y Empleo;Economía, Hacienda y Empleo
